Mount Oliver Borough,3,45
Central Northside,7,155
Garfield,7,187
Windgap,11,248
West Elizabeth Borough,22,5
Ross Township,17,5362
Duquesne,8,441
Homewood West,20,853
Point Breeze North,4,45
Bell Acres Borough,16,43
Kilbuck Township,16,104
Fox Chapel Borough,21,581
Coraopolis Borough,13,503
Highland Park,4,68
Avalon Borough,13,316
Marshall-Shadeland,11,670
Overbrook,1,769
Heidelberg Borough,3,12
Collier Township,17,1341
Bedford Dwellings,19,245
Aleppo Township,18,31
East Carnegie,11,32
North Braddock Borough,7,136
Manchester,21,261
McCandless Township,17,2918
Sewickley Borough,4,105
West Homestead Borough,0,597
Edgeworth Borough,12,54
Outside Allegheny,12,4689
Whitaker Borough,6,11
Wilkinsburg Borough,4,295
White Oak Borough,13,593
South Oakland,4,210
North Fayette Township,16,1472
Wall Borough,22,27
Hazelwood,0,660
Bridgeville Borough,19,504
Perry North,3,360
South Side Slopes,19,914
Banksville,2,165
West Deer Township,16,756
Sharpsburg Borough,23,411
Arlington Heights,18,3
Shaler Township,14,2950
Port Vue Borough,14,400
Middle Hill,3,114
Windgap,12,159
Swisshelm Park,1,59
St. Clair,3,1
Baldwin Borough,23,3872
California-Kirkbride,13,69
East McKeesport Borough,15,117
Etna Borough,21,428
Green Tree Borough,5,63
North Oakland,8,1812
Coraopolis Borough,10,331
Scott Township,7,428
Perry North,15,1095
Lincoln-Lemington-Belmar,1,233
Marshall-Shadeland,0,851
South Oakland,3,438
South Park Township,20,2106
Arlington,3,54
Bethel Park Borough,4,189
Whitaker Borough,16,64
Bradford Woods Borough,2,7
Kennedy Township,12,727
Upper Hill,11,165
Morningside,7,71
Edgeworth Borough,3,10
Ross Township,18,5695
Dormont Borough,8,430
Swissvale Borough,13,525
White Oak Borough,6,104
Glen Osborne Borough,22,169
Brookline,4,404
Coraopolis Borough,18,472
Mount Oliver Borough,20,276
Crafton Heights,7,369
Chateau,19,354
Mount Lebanon,11,2200
Sheraden,8,131
Stanton Heights,19,493
Esplen,5,6
Wilkinsburg Borough,21,1458
Brentwood Borough,16,1654
Pine Township,4,20
Shaler Township,5,355
Braddock Hills Borough,18,275
Morningside,0,351
Chateau,7,115
Windgap,21,245
Sheraden,17,258
Allegheny Center,22,533
Ross Township,3,837
Brookline,21,3901
Stanton Heights,4,69
East McKeesport Borough,4,42
Northview Heights,1,104
Green Tree Borough,14,960
Strip District,2,338
North Oakland,15,5878
Emsworth Borough,23,472
Fox Chapel Borough,7,167
Central Business District,4,2156
Highland Park,18,776
Lincoln-Lemington-Belmar,6,123
Edgewood Borough,16,324
Overbrook,19,1197
Jefferson Hills Borough,3,138
Pittsburgh,8,359
Avalon Borough,4,53
Aleppo Township,11,49
Arlington,4,28
Bethel Park Borough,13,2734
Mt. Oliver,17,52
Spring Hill-City View,14,207
Penn Hills Township,13,3393
Kennedy Township,7,293
Thornburg Borough,4,5
Elizabeth Township,12,1405
West Homestead Borough,18,661
Carnegie Borough,4,70
Crafton Borough,19,687
Oakmont Borough,6,195
Whitehall Borough,0,1400
Polish Hill,14,84
Chateau,4,23
Hazelwood,14,473
Wilkins Township,0,1480
Crafton Heights,14,538
Glen Hazel,18,23
Westwood,7,73
Point Breeze North,21,302
Brighton Heights,1,821
Jefferson Hills Borough,12,844
Bon Air,4,4
Central Northside,16,414
Upper St. Clair Township,0,1123
East Pittsburgh Borough,9,57
West Deer Township,11,699
Allegheny Center,17,367
Ross Township,10,2838
Baldwin Borough,5,310
Liberty Borough,18,529
Stanton Heights,11,269
Squirrel Hill South,11,1341
Bedford Dwellings,9,97
North Oakland,6,296
Fox Chapel Borough,14,256
Central Business District,15,11962
Homewood South,14,271
Chartiers City,18,4
Sewickley Heights Borough,1,11
Strip District,18,1495
Braddock Borough,12,196
South Oakland,13,1752
South Park Township,6,287
Arlington,13,143
Bethel Park Borough,18,2807
South Oakland,21,2672
Spring Hill-City View,9,205
Bon Air,22,134
Bedford Dwellings,16,162
Morningside,9,77
Edgeworth Borough,17,105
Cheswick Borough,22,62
Forest Hills Borough,8,263
Stowe Township,22,1193
Whitehall Borough,9,772
Pennsbury Village Borough,9,42
Bon Air,12,59
Ingram Borough,10,217
Hazelwood,21,797
Wilkins Township,9,929
Crafton Heights,9,388
McKees Rocks Borough,21,718
Hays,20,43
Banksville,21,924
Beltzhoover,18,299
Brighton Heights,6,212
Brentwood Borough,2,783
Shaler Township,19,3942
Braddock Hills Borough,0,138
Swissvale Borough,3,165
Marshall Township,17,138
Upper St. Clair Township,7,538
East Carnegie,12,54
Sheraden,3,92
Blawnox Borough,13,217
Baldwin Borough,12,1733
Beltzhoover,8,179
Squirrel Hill South,2,221
Etna Borough,2,110
Sewickley Hills Borough,7,21
Beltzhoover,20,334
Franklin Park Borough,16,732
Fox Chapel Borough,9,129
Central Business District,22,10101
North Braddock Borough,16,336
Haysville Borough,2,1
Chartiers City,13,5
Lincoln-Lemington-Belmar,20,635
Edgewood Borough,6,129
Strip District,21,1454
Lower Lawrenceville,13,554
Mt. Oliver,13,35
Greenfield,17,814
Perry North,19,1302
New Homestead,11,31
Swisshelm Park,17,119
Ben Avon Borough,1,282
Spring Hill-City View,0,247
Larimer,4,13
Allentown,17,157
Chateau,0,208
West Oakland,6,257
Blawnox Borough,20,156
Clairton,14,700
Forest Hills Borough,17,820
White Oak Borough,17,645
Whitehall Borough,22,2642
Castle Shannon Borough,21,1338
Marshall Township,19,145
Avalon Borough,22,770
Wilkins Township,18,1339
Blawnox Borough,4,6
Fairywood,14,134
Robinson Township,0,1601
Reserve Township,12,171
Millvale Borough,5,67
Brighton Heights,15,718
Westwood,5,28
Brentwood Borough,11,1316
Sewickley Borough,11,468
Whitaker Borough,19,75
Braddock Hills Borough,7,82
Plum Borough,18,135
Point Breeze,23,543
Allegheny Center,3,78
Baldwin Borough,11,1600
East McKeesport Borough,19,170
Etna Borough,9,117
North Oakland,20,5837
Franklin Park Borough,11,591
Mount Washington,11,1146
North Braddock Borough,9,153
Sewickley Borough,18,468
Edgewood Borough,13,297
Crafton Borough,0,423
North Shore,6,785
Ben Avon Borough,14,276
Wall Borough,17,10
Larimer,13,321
Blawnox Borough,9,81
Kennedy Township,16,915
Jefferson Hills Borough,19,1078
Pine Township,6,110
Cheswick Borough,4,4
Bellevue Borough,22,2070
West End,23,197
Stowe Township,4,105
Pine Township,17,671
Polish Hill,23,143
Castle Shannon Borough,18,862
North Fayette Township,7,409
Summer Hill,22,122
South Versailles Township,17,3
Glen Hazel,7,9
Robinson Township,9,2051
Stanton Heights,17,298
Frazer Township,6,11
Bloomfield,20,1852
Shadyside,9,1325
Brighton Heights,20,1304
Westwood,12,199
Brentwood Borough,12,1526
Braddock Hills Borough,14,196
Swissvale Borough,21,889
Central Oakland,4,550
Upper St. Clair Township,21,2152
Rankin Borough,5,3
Allegheny Center,10,528
Squirrel Hill South,20,1668
Aspinwall Borough,0,199
Franklin Park Borough,2,231
Mount Washington,0,1994
North Versailles Township,9,678
North Braddock Borough,14,241
O Hara Township,20,1690
West Elizabeth Borough,9,14
Regent Square,8,30
Mt. Oliver,6,10
Strip District,7,579
California-Kirkbride,9,51
Greenfield,3,202
Dravosburg Borough,18,170
Ridgemont,10,68
Ben Avon Borough,23,558
Spring Hill-City View,18,274
Larimer,22,230
Thornburg Borough,0,18
Allentown,3,49
West Oakland,8,541
Penn Hills Township,2,1561
Glassport Borough,19,402
Cheswick Borough,13,28
North Versailles Township,20,1715
Stowe Township,3,103
East Liberty,15,1128
Castle Shannon Borough,11,733
North Fayette Township,8,650
Arlington Heights,19,3
Turtle Creek Borough,17,578
South Versailles Township,8,2
Glen Hazel,14,37
Robinson Township,22,3361
Bloomfield,13,1230
Shadyside,14,2307
Crawford-Roberts,22,553
Westwood,23,340
Mount Lebanon,17,2934
West Mifflin Borough,2,1374
Ben Avon Heights Borough,20,17
Plum Borough,4,22
Indiana Township,0,511
Haysville Borough,23,1
East Allegheny,17,371
Hays,10,49
Verona Borough,7,69
Lincoln Borough,3,89
Aspinwall Borough,15,265
Allegheny West,18,169
Central Lawrenceville,19,820
Franklin Park Borough,5,67
Marshall Township,9,86
Scott Township,12,1073
O Hara Township,11,1256
Mt. Oliver,1,44
Strip District,14,1609
New Homestead,17,31
Greenfield,12,582
Dravosburg Borough,11,110
Oakdale Borough,14,72
Terrace Village,12,804
Allentown,4,32
West Oakland,17,965
Oakdale Borough,23,155
Garfield,20,764
Cheswick Borough,10,37
Bellevue Borough,4,143
Monroeville,4,15
Stowe Township,10,322
East Liberty,6,171
Castle Shannon Borough,0,848
North Fayette Township,17,1385
Sewickley Hills Borough,3,8
Summer Hill,4,3
Dormont Borough,0,1058
McKees Rocks Borough,10,213
Turtle Creek Borough,0,774
Sewickley Hills Borough,22,40
Rosslyn Farms Borough,8,38
Bloomfield,6,328
Shadyside,7,985
Bluff,9,2188
Versailles Borough,3,170
Sewickley Hills Borough,20,55
West Mifflin Borough,5,621
Northview Heights,16,57
Point Breeze,0,339
Indiana Township,15,671
Aleppo Township,4,1
Monroeville,9,47
Lincoln Borough,10,246
Aspinwall Borough,22,539
Baldwin Township,10,310
Central Lawrenceville,8,411
Ohio Township,22,2307
Mount Washington,22,2767
Forward Township,1,55
Sewickley Borough,13,376
Neville Township,8,99
West Deer Township,13,670
Chalfant Borough,0,52
McKees Rocks Borough,13,345
Dravosburg Borough,12,141
Homewood North,23,319
Rankin Borough,7,59
Chalfant Borough,23,84
Terrace Village,5,55
Lincoln Place,9,173
Allentown,13,146
Penn Hills Township,20,5154
Outside Pittsburgh,3,3
Garfield,15,638
Bellevue Borough,11,742
North Versailles Township,6,524
Churchill Borough,12,438
Bridgeville Borough,5,40
South Shore,22,631
Polish Hill,7,56
Rankin Borough,12,62
Elliott,5,14
Summer Hill,13,94
Dormont Borough,11,756
O Hara Township,4,87
Point Breeze North,12,296
Lower Lawrenceville,22,666
Bluff,0,2772
Mount Lebanon,3,519
West Mifflin Borough,12,3433
Ben Avon Heights Borough,2,4
Indiana Township,22,1080
Aleppo Township,3,4
East Allegheny,3,58
Carnegie Borough,12,587
Oakdale Borough,9,35
Millvale Borough,21,786
Lincoln Borough,13,335
Baldwin Township,3,47
Central Lawrenceville,1,411
East Liberty,1,338
Forward Township,6,44
Homewood South,23,469
Fairywood,2,120
Mt. Oliver,19,60
Friendship,7,51
New Homestead,3,7
Dravosburg Borough,5,35
Homewood North,8,61
Sharpsburg Borough,5,26
Rankin Borough,0,83
Troy Hill,4,75
Pennsbury Village Borough,6,4
North Shore,14,3061
Perry North,11,684
Ridgemont,22,88
Pine Township,14,688
Oakwood,19,107
Kilbuck Township,10,42
Garfield,6,301
Homestead Borough,16,911
North Versailles Township,1,639
Churchill Borough,5,27
South Shore,15,490
Wilmerding Borough,17,100
Elliott,12,204
Summer Hill,10,64
Dormont Borough,18,1371
Blawnox Borough,11,104
Fairywood,19,145
Shadyside,21,3026
Carrick,14,1114
Versailles Borough,21,630
Ben Avon Heights Borough,11,9
Aleppo Township,10,29
Beechview,6,425
East Allegheny,10,312
Carnegie Borough,7,270
Point Breeze North,20,309
Moon Township,7,471
Lincoln Borough,20,290
Heidelberg Borough,15,124
Spring Garden,17,36
West Elizabeth Borough,12,18
Central Lawrenceville,6,146
Ohio Township,4,143
Forward Township,15,80
Ingram Borough,13,315
Glenfield Borough,23,124
Bradford Woods Borough,6,3
Upper Hill,19,351
New Homestead,12,37
Kilbuck Township,8,24
Upper Lawrenceville,11,271
Homewood North,1,173
Rosslyn Farms Borough,22,57
Emsworth Borough,7,133
Windgap,2,79
Terrace Village,23,1205
McKeesport,23,4697
North Shore,7,439
Point Breeze,12,364
Sharpsburg Borough,3,49
Harmar Township,0,271
Oakwood,8,38
Duquesne Heights,22,461
Glassport Borough,15,265
Homestead Borough,9,398
North Versailles Township,8,586
Lincoln Place,13,397
Wall Borough,20,22
East Liberty,19,1396
Wilmerding Borough,8,51
Whitaker Borough,15,57
Elliott,23,486
Knoxville,2,779
Wall Borough,1,3
Verona Borough,4,46
Heidelberg Borough,19,193
Pleasant Hills Borough,16,1215
Bluff,18,2863
Carrick,5,158
West View Borough,5,98
Northview Heights,7,43
South Fayette Township,21,2526
Fineview,12,100
Beechview,15,1399
East Allegheny,13,370
Polish Hill,1,121
Homewood West,4,56
Middle Hill,22,522
Moon Township,14,937
Heidelberg Borough,14,125
Spring Garden,22,65
Baldwin Township,17,449
Ohio Township,11,1199
Penn Hills Township,5,494
Fairywood,12,168
South Side Flats,0,5019
Brookline,19,2418
Hays,7,32
Elizabeth Borough,18,170
Rankin Borough,18,116
Bradford Woods Borough,0,9
Terrace Village,16,689
Perry South,4,107
Oakmont Borough,9,372
South Fayette Township,2,318
Dormont Borough,10,700
Oakwood,1,25
Duquesne Heights,13,212
Central Oakland,2,2603
Homestead Borough,6,70
Churchill Borough,19,335
Outside Allegheny,1,3248
Wilmerding Borough,3,105
Findlay Township,17,103
Liberty Borough,10,349
Duquesne,21,704
Neville Township,20,280
Pleasant Hills Borough,11,919
Bluff,21,3607
West View Borough,14,624
Springdale Township,20,72
Northview Heights,12,97
Homewood South,6,44
South Fayette Township,18,1450
Fineview,5,7
Beechview,20,2298
Carnegie Borough,17,903
Millvale Borough,10,221
Moon Township,9,512
Regent Square,1,44
Esplen,13,69
East Carnegie,20,177
