lat,lon,num_tweets,num_users
40.62,-79.86,452,49
40.25,-80.01,1159,48
40.25,-79.91,14,8
40.5,-80.2,122,51
40.6,-80.2,3,2
40.26,-80.06,209,41
40.45,-79.81,1221,35
40.32,-80.08,1090,122
40.36,-80.04,2325,116
40.47,-79.96,12458,1845
40.24,-79.95,3,2
40.3,-79.92,619,199
40.61,-79.97,431,66
40.44,-80.09,220,98
40.3,-79.94,423,34
40.47,-80.01,4419,243
40.58,-80.0,573,61
40.25,-79.87,31,21
40.6,-80.19,15,5
40.25,-80.14,313,31
40.62,-80.1,240,191
40.48,-80.18,213,25
40.35,-80.15,154,31
40.44,-80.04,3786,259
40.3,-79.93,177,124
40.38,-80.12,254,35
40.62,-79.94,1154,166
40.3,-80.11,124,29
40.3,-80.13,433,53
40.54,-80.07,1098,166
40.37,-80.07,1701,127
40.55,-79.95,834,57
40.39,-80.16,2398,65
40.51,-80.19,35,10
40.37,-80.13,1096,50
40.34,-79.94,2132,520
40.29,-80.15,20,2
40.49,-80.14,824,50
40.55,-80.19,1238,176
40.5,-80.09,61,43
40.48,-80.14,1663,48
40.47,-80.2,421,209
40.45,-80.1,657,119
40.49,-80.03,3422,116
40.51,-80.09,3302,202
40.33,-80.14,2447,305
40.31,-79.88,37,18
40.53,-79.88,161,41
40.58,-79.99,394,52
40.42,-80.13,26,11
40.62,-79.99,37,16
40.61,-79.81,94,5
40.26,-79.9,788,29
40.43,-79.91,748,376
40.25,-80.04,57,34
40.61,-79.82,15,11
40.53,-80.18,446,135
40.62,-79.97,246,23
40.39,-79.9,8867,215
40.43,-80.12,1370,229
40.4,-79.95,108,75
40.6,-80.04,926,64
40.31,-79.99,564,59
40.46,-79.94,13836,1486
40.61,-80.1,616,236
40.34,-80.11,430,49
40.33,-80.01,177,91
40.36,-79.95,111,59
40.53,-79.95,1740,133
40.35,-79.85,6065,208
40.39,-80.11,157,41
40.5,-80.01,1826,355
40.57,-80.06,364,26
40.25,-79.95,57,7
40.55,-79.92,31,20
40.46,-80.1,64,34
40.52,-80.03,4276,401
40.46,-80.03,2505,368
40.64,-79.9,1,1
40.54,-80.0,2385,82
40.55,-79.85,23,14
40.62,-80.14,37,5
40.27,-80.07,383,50
40.24,-80.19,64,25
40.34,-79.8,78,45
40.44,-79.83,1819,401
40.48,-80.07,2043,120
40.39,-79.92,733,41
40.28,-80.02,535,20
40.41,-79.97,403,62
40.36,-80.11,3313,663
40.24,-79.92,3,3
40.34,-80.0,2052,110
40.48,-79.97,4474,858
40.48,-79.89,306,29
40.64,-79.94,1271,228
40.39,-79.95,827,47
40.34,-80.05,2975,887
40.25,-79.81,11,8
40.25,-80.2,898,217
40.25,-79.82,23,13
40.3,-79.98,2477,62
40.32,-79.87,545,55
40.53,-79.81,215,59
40.37,-80.1,2891,678
40.4,-80.06,2110,266
40.32,-80.12,978,68
40.51,-80.0,2097,266
40.63,-79.97,155,40
40.3,-79.82,227,33
40.52,-80.08,412,111
40.27,-79.86,1063,36
40.4,-80.11,698,143
40.64,-80.03,92,26
40.31,-79.91,952,25
40.24,-80.07,45,4
40.61,-79.96,254,70
40.51,-79.87,10486,49
40.62,-80.15,10,3
40.33,-80.06,845,144
40.63,-79.98,188,70
40.26,-80.07,20,13
40.58,-79.82,23,5
40.27,-79.94,5,5
40.25,-80.1,216,27
40.37,-79.9,1330,51
40.49,-80.02,16058,165
40.41,-79.91,8949,1806
40.32,-79.83,3055,180
40.24,-80.2,33,29
40.55,-79.91,184,72
40.52,-79.87,1759,179
40.44,-79.85,967,185
40.63,-80.09,77,28
40.57,-80.03,955,194
40.29,-80.13,113,11
40.24,-79.8,1,1
40.44,-80.14,1525,206
40.54,-80.03,1448,162
40.61,-80.18,4,4
40.36,-80.14,380,29
40.45,-80.03,2098,578
40.53,-79.98,2258,121
40.41,-80.0,3187,249
40.39,-79.83,349,72
40.27,-79.8,3,2
40.27,-80.18,2877,141
40.24,-79.9,16,2
40.31,-79.85,135,15
40.62,-79.84,702,22
40.49,-79.81,1181,48
40.58,-79.97,381,56
40.42,-80.18,2418,16
40.56,-80.03,2396,228
40.59,-79.95,901,230
40.35,-80.13,431,41
40.44,-79.84,1223,265
40.49,-80.11,1483,64
40.36,-79.83,1161,161
40.44,-79.92,8266,1432
40.39,-80.14,145,25
40.35,-79.9,577,101
40.53,-80.05,448,89
40.57,-80.12,158,84
40.36,-80.05,5560,805
40.46,-80.0,4802,938
40.58,-80.02,483,57
40.27,-80.1,402,55
40.55,-80.14,72,12
40.42,-79.99,15476,447
40.33,-80.0,531,80
40.51,-79.95,2419,351
40.33,-79.91,27,16
40.45,-80.07,3122,153
40.62,-79.91,461,48
40.63,-80.02,179,50
40.5,-80.15,120,41
40.51,-79.88,259,69
40.6,-79.92,2139,96
40.42,-79.86,2245,160
40.39,-80.1,1728,387
40.47,-79.86,3971,57
40.6,-80.09,1877,240
40.44,-79.97,11978,1610
40.32,-80.0,198,109
40.48,-80.2,147,79
40.44,-80.05,7081,181
40.42,-79.98,5440,397
40.43,-79.81,5483,681
40.48,-80.11,1663,111
40.45,-79.98,12024,2587
40.52,-79.98,2268,128
40.35,-79.84,10083,213
40.59,-80.14,16,8
40.62,-79.87,501,31
40.59,-79.96,844,59
40.39,-80.09,3081,412
40.57,-80.18,5,3
40.49,-80.13,1067,67
40.62,-79.93,771,68
40.4,-80.08,2469,258
40.3,-80.1,680,187
40.62,-80.06,657,209
40.63,-79.88,195,41
40.64,-79.88,1,1
40.3,-79.99,1437,123
40.28,-80.13,887,110
40.5,-79.95,4299,242
40.49,-80.01,2170,410
40.46,-80.15,272,67
40.41,-79.9,3245,655
40.63,-79.9,13,11
40.56,-80.12,181,64
40.35,-80.06,1458,367
40.63,-79.81,5,4
40.47,-79.81,6755,165
40.55,-79.83,221,158
40.59,-80.08,558,18
40.54,-80.1,396,37
40.57,-79.99,388,52
40.46,-80.18,2310,294
40.44,-79.99,90932,9886
40.32,-80.02,191,60
40.25,-79.88,189,59
40.64,-79.99,28,27
40.31,-80.2,234,11
40.58,-80.08,877,90
40.51,-79.94,985,55
40.43,-79.8,308,177
40.55,-80.12,245,121
40.25,-80.05,390,34
40.38,-79.87,2082,258
40.37,-79.94,232,39
40.55,-79.89,228,41
40.29,-80.08,348,63
40.25,-79.99,2041,49
40.56,-79.86,2120,28
40.35,-79.96,919,197
40.6,-80.18,8,5
40.57,-79.83,1,1
40.36,-80.06,924,169
40.64,-79.93,148,36
40.5,-79.87,1364,143
40.3,-79.83,943,31
40.58,-80.14,1,1
40.42,-79.83,1631,72
40.25,-80.07,31,17
40.62,-80.0,234,21
40.39,-80.18,16,14
40.46,-79.91,3065,559
40.59,-79.92,999,17
40.37,-80.02,1693,264
40.35,-80.17,48,11
40.62,-79.95,957,221
40.27,-80.14,3031,95
40.38,-79.8,1533,120
40.42,-79.95,405,165
40.54,-80.11,406,13
40.51,-79.92,184,26
40.47,-79.91,5611,271
40.29,-79.82,1573,40
40.48,-80.08,2592,98
40.47,-80.12,1106,227
40.24,-80.18,373,71
40.57,-79.92,84,41
40.51,-79.98,704,114
40.34,-80.07,775,203
40.54,-80.08,415,229
40.5,-80.11,684,33
40.35,-79.98,1530,313
40.45,-80.06,4018,193
40.46,-80.17,1326,596
40.59,-79.86,12,5
40.61,-80.12,5,4
40.57,-79.98,425,70
40.28,-80.18,2193,70
40.64,-80.2,30,11
40.36,-80.1,1596,169
40.57,-79.96,914,53
40.62,-80.07,335,99
40.63,-80.05,1477,309
40.54,-80.2,87,46
40.32,-79.81,793,37
40.34,-79.83,5371,229
40.45,-79.8,706,40
40.37,-79.92,1430,112
40.4,-79.89,5303,162
40.56,-80.17,117,6
40.26,-79.97,576,12
40.39,-79.84,1560,64
40.34,-79.97,4136,522
40.49,-79.88,2067,441
40.39,-79.91,6674,158
40.59,-80.04,726,214
40.4,-79.99,4362,261
40.46,-79.93,17849,2561
40.33,-80.1,38,19
40.57,-80.02,3298,619
40.59,-79.89,96,84
40.64,-79.96,21,9
40.37,-79.88,335,34
40.64,-79.92,6,6
40.37,-80.0,1166,102
40.3,-80.06,1215,90
40.54,-80.19,1217,280
40.64,-80.17,5,3
40.46,-79.92,11745,1893
40.57,-80.15,2,2
40.38,-80.08,4177,78
40.27,-79.92,47,7
40.38,-80.15,713,22
40.51,-79.97,3404,127
40.31,-79.94,527,217
40.58,-80.12,98,52
40.55,-79.94,1643,45
40.61,-80.07,682,46
40.26,-79.94,52,9
40.36,-79.82,440,50
40.32,-79.91,40,22
40.41,-79.95,3288,156
40.26,-79.86,1775,82
40.53,-80.08,1699,96
40.42,-80.06,3695,724
40.45,-79.85,814,204
40.43,-80.14,620,307
40.4,-79.93,481,208
40.24,-80.03,2,2
40.49,-79.92,1678,370
40.4,-79.97,4318,66
40.63,-80.13,3,2
40.57,-79.86,209,122
40.55,-80.01,5232,414
40.52,-79.82,409,110
40.32,-80.16,10,6
40.53,-79.89,164,24
40.34,-79.81,1941,311
40.32,-79.89,2166,128
40.52,-80.01,1725,523
40.56,-79.97,1003,107
40.33,-79.89,2262,130
40.29,-80.05,419,24
40.55,-79.8,623,63
40.63,-79.96,169,28
40.38,-79.99,4861,415
